Company Name,Ticker,Street Address,City,State/Province,Postal Code,Country,County,Telephone Number,Fax Number,Executive Name,Executive Position,Company Email Address,URL/Web Address,Company Type,No. of Employees,Primary SIC Code,Secondary SIC Code,Headquarters,Dossier ID,Primary NAICS Code,Secondary NAICS Code,Business Description,Auditor,Legal Counsel,Sales/Revenue,Assets,Liabilities,Market Cap,Earnings Per Share,EPS Growth Rate,Price/Earning Ratio,Return On Equity,Top Companies,Primary SBI Code,Secondary SBI Code,Chamber of Commerce Number
"BANK OF AMERICA, NATIONAL ASSOCIATION","","2 KING EDWARD STREET","LONDON","","EC1A 1HQ","","","44 (20717) 44000","","Almedia,Jose","DIRECTOR","","http://www.bankofamerica.com","PRIVATE - PARENT","171,057","6021 National Commercial Banks","","","0","","","Banks","PricewaterhouseCoopers LLP","","117,852,000,000","3,051,375,000,000","2,778,178,000,000","","","","","",""
"BANK OF AMERICA, NATIONAL ASSOCIATION","","2 KING EDWARD STREET","LONDON","","EC1A 1HQ","","","44 (20717) 44000","","Banks,Keith","CEO"
"Bank of America, N.A.","","BANK OF AMERICA CORPORATE CTR 100 N TRYON ST","CHARLOTTE","NORTH CAROLINA","28255-0001","UNITED STATES","","1 (704) 386 56811 (800) 432 1000","","Moynihan,Brian","CHIEF EXECUTIVE OFFICER","","http://www.bankofamerica.com","PUBLIC - PARENT","142,680","6029 Commercial Banks, Not Elsewhere Classified","6011 Federal Reserve Banks;6733 Trusts, Except Educational, Religious, and Charitable;6289 Services Allied With the Exchange of Securities or Commodities, Not Elsewhere Classified;6099 Functions Related to Depository Banking, Not Elsewhere Classified;6211 Security Brokers, Dealers, and Flotation Companies","Yes","0","522110 Commercial Banking","523991 Trust, Fiduciary, and Custody Activities;523999 Miscellaneous Financial Investment Activities;525990 Other Financial Vehicles","NATIONAL COMMERCIAL BANK","Pricewaterhousecoopers LLP Ch","","115,053,000,000","","","","","","","",""
"Bank of America, N.A.","","BANK OF AMERICA CORPORATE CTR 100 N TRYON ST","CHARLOTTE","NORTH CAROLINA","28255-0001","UNITED STATES","","1 (704) 386 56811 (800) 432 1000","","Grice,Mary Cameron","Assistant Vice President Campus Recruiter"
"Bank of America, N.A.","","BANK OF AMERICA CORPORATE CTR 100 N TRYON ST","CHARLOTTE","NORTH CAROLINA","28255-0001","UNITED STATES","","1 (704) 386 56811 (800) 432 1000","","Carnahan,Doug","Senior Vice President Senior Portfolio Manager"
"Bank of America, N.A.","","BANK OF AMERICA CORPORATE CTR 100 N TRYON ST","CHARLOTTE","NORTH CAROLINA","28255-0001","UNITED STATES","","1 (704) 386 56811 (800) 432 1000","","Parker,Alicia","Vice President"
"Bank of America, N.A.","","BANK OF AMERICA CORPORATE CTR 100 N TRYON ST","CHARLOTTE","NORTH CAROLINA","28255-0001","UNITED STATES","","1 (704) 386 56811 (800) 432 1000","","Provenzano,Patricia","Private Client Advisor Senior Vice President"
"Bank of America, N.A.","","BANK OF AMERICA CORPORATE CTR 100 N TRYON ST","CHARLOTTE","NORTH CAROLINA","28255-0001","UNITED STATES","","1 (704) 386 56811 (800) 432 1000","","Stack,Toral","Senior Vice President"
"Bank of America, N.A.","","BANK OF AMERICA CORPORATE CTR 100 N TRYON ST","CHARLOTTE","NORTH CAROLINA","28255-0001","UNITED STATES","","1 (704) 386 56811 (800) 432 1000","","Rudraraju,Suresh","Vice President"
"Bank of America, N.A.","","BANK OF AMERICA CORPORATE CTR 100 N TRYON ST","CHARLOTTE","NORTH CAROLINA","28255-0001","UNITED STATES","","1 (704) 386 56811 (800) 432 1000","","Halpin,Mark","Vice President Senior Technology Manager"
"Bank of America, N.A.","","BANK OF AMERICA CORPORATE CTR 100 N TRYON ST","CHARLOTTE","NORTH CAROLINA","28255-0001","UNITED STATES","","1 (704) 386 56811 (800) 432 1000","","Mulcahy,Michael","Vice President"
"Bank of America, N.A.","","BANK OF AMERICA CORPORATE CTR 100 N TRYON ST","CHARLOTTE","NORTH CAROLINA","28255-0001","UNITED STATES","","1 (704) 386 56811 (800) 432 1000","","Sailor,Chris","Vp"
"Bank of America, N.A.","","BANK OF AMERICA CORPORATE CTR 100 N TRYON ST","CHARLOTTE","NORTH CAROLINA","28255-0001","UNITED STATES","","1 (704) 386 56811 (800) 432 1000","","Gould,Ted","Senior Vice President"
"Bank of America, N.A.","","BANK OF AMERICA CORPORATE CTR 100 N TRYON ST","CHARLOTTE","NORTH CAROLINA","28255-0001","UNITED STATES","","1 (704) 386 56811 (800) 432 1000","","Gentin,Nicolas","Executive Vice President"
"Bank of America, N.A.","","BANK OF AMERICA CORPORATE CTR 100 N TRYON ST","CHARLOTTE","NORTH CAROLINA","28255-0001","UNITED STATES","","1 (704) 386 56811 (800) 432 1000","","Hegde,Vinuta","Senior Vice President Senior Technology Manager - Business Tech Anlysis"
"Bank of America, N.A.","","BANK OF AMERICA CORPORATE CTR 100 N TRYON ST","CHARLOTTE","NORTH CAROLINA","28255-0001","UNITED STATES","","1 (704) 386 56811 (800) 432 1000","","Huckaby,Stephany","Vice President"
"Bank of America, N.A.","","BANK OF AMERICA CORPORATE CTR 100 N TRYON ST","CHARLOTTE","NORTH CAROLINA","28255-0001","UNITED STATES","","1 (704) 386 56811 (800) 432 1000","","Nanduri,Dheepa","Senior Vice President Program Manager"
"Bank of America, N.A.","","BANK OF AMERICA CORPORATE CTR 100 N TRYON ST","CHARLOTTE","NORTH CAROLINA","28255-0001","UNITED STATES","","1 (704) 386 56811 (800) 432 1000","","Ward,Tanqueria","Vice President"
"Bank of America, N.A.","","BANK OF AMERICA CORPORATE CTR 100 N TRYON ST","CHARLOTTE","NORTH CAROLINA","28255-0001","UNITED STATES","","1 (704) 386 56811 (800) 432 1000","","Fusco,Jennifer","Vice President Corporate Events"
"Bank of America, N.A.","","BANK OF AMERICA CORPORATE CTR 100 N TRYON ST","CHARLOTTE","NORTH CAROLINA","28255-0001","UNITED STATES","","1 (704) 386 56811 (800) 432 1000","","Tomlinson,Cindy","Vice President Incentive Rewards And Recognition Delivery Manager"
"Bank of America, N.A.","","BANK OF AMERICA CORPORATE CTR 100 N TRYON ST","CHARLOTTE","NORTH CAROLINA","28255-0001","UNITED STATES","","1 (704) 386 56811 (800) 432 1000","","Cranston,Susie","Executive Vice President"
"Bank of America, N.A.","","BANK OF AMERICA CORPORATE CTR 100 N TRYON ST","CHARLOTTE","NORTH CAROLINA","28255-0001","UNITED STATES","","1 (704) 386 56811 (800) 432 1000","","Donovan,Robert","SVP NORTHEAST REGION EXECUTIVE"
